
Sun Feb 26 13:53:35 2023


cell 0 : - Area : 853 pixels - Perimeter : 104 pixels - Height : 35 pixels - Width : 30 pixels. Shape : ('oblong', [0, 0, 0, 1, 0]).
cell 1 : - Area : 40 pixels - Perimeter : 22 pixels - Height : 8 pixels - Width : 5 pixels. Shape : ('rectangle', [0, 0, 0, 1, 1]).
cell 2 : - Area : 351 pixels - Perimeter : 64 pixels - Height : 21 pixels - Width : 20 pixels. Shape : ('oblong', [0, 0, 0, 2, 1]).
cell 3 : - Area : 213 pixels - Perimeter : 58 pixels - Height : 25 pixels - Width : 10 pixels. Shape : ('oblong', [0, 0, 0, 3, 1]).
cell 4 : - Area : 452 pixels - Perimeter : 89 pixels - Height : 35 pixels - Width : 18 pixels. Shape : ('oblong', [0, 0, 0, 4, 1]).
cell 5 : - Area : 584 pixels - Perimeter : 124 pixels - Height : 38 pixels - Width : 19 pixels. Shape : ('oblong', [0, 0, 0, 5, 1]).
cell 6 : - Area : 778 pixels - Perimeter : 104 pixels - Height : 39 pixels - Width : 25 pixels. Shape : ('oblong', [0, 0, 0, 6, 1]).
cell 7 : - Area : 193 pixels - Perimeter : 56 pixels - Height : 24 pixels - Width : 10 pixels. Shape : ('oblong', [0, 0, 0, 7, 1]).
cell 8 : - Area : 25 pixels - Perimeter : 16 pixels - Height : 5 pixels - Width : 5 pixels. Shape : ('square', [0, 1, 0, 7, 1]).
cell 9 : - Area : 291 pixels - Perimeter : 67 pixels - Height : 30 pixels - Width : 13 pixels. Shape : ('oblong', [0, 1, 0, 8, 1]).
cell 10 : - Area : 903 pixels - Perimeter : 138 pixels - Height : 62 pixels - Width : 17 pixels. Shape : ('oblong', [0, 1, 0, 9, 1]).
cell 11 : - Area : 399 pixels - Perimeter : 77 pixels - Height : 32 pixels - Width : 17 pixels. Shape : ('oblong', [0, 1, 0, 10, 1]).
cell 12 : - Area : 682 pixels - Perimeter : 112 pixels - Height : 49 pixels - Width : 18 pixels. Shape : ('oblong', [0, 1, 0, 11, 1]).
cell 13 : - Area : 112 pixels - Perimeter : 39 pixels - Height : 16 pixels - Width : 8 pixels. Shape : ('oblong', [0, 1, 0, 12, 1]).
cell 14 : - Area : 91 pixels - Perimeter : 32 pixels - Height : 11 pixels - Width : 9 pixels. Shape : ('rectangle', [0, 1, 0, 12, 2]).
cell 15 : - Area : 40 pixels - Perimeter : 20 pixels - Height : 6 pixels - Width : 7 pixels. Shape : ('rectangle', [0, 1, 0, 12, 3]).
cell 16 : - Area : 93 pixels - Perimeter : 33 pixels - Height : 11 pixels - Width : 10 pixels. Shape : ('oblong', [0, 1, 0, 13, 3]).
cell 17 : - Area : 129 pixels - Perimeter : 36 pixels - Height : 14 pixels - Width : 11 pixels. Shape : ('square', [0, 2, 0, 13, 3]).
cell 18 : - Area : 768 pixels - Perimeter : 113 pixels - Height : 42 pixels - Width : 32 pixels. Shape : ('triangle', [1, 2, 0, 13, 3]).
cell 19 : - Area : 120 pixels - Perimeter : 36 pixels - Height : 11 pixels - Width : 13 pixels. Shape : ('oblong', [1, 2, 0, 14, 3]).
cell 20 : - Area : 320 pixels - Perimeter : 70 pixels - Height : 18 pixels - Width : 28 pixels. Shape : ('triangle', [2, 2, 0, 14, 3]).
cell 21 : - Area : 1257 pixels - Perimeter : 150 pixels - Height : 66 pixels - Width : 31 pixels. Shape : ('triangle', [3, 2, 0, 14, 3]).
cell 22 : - Area : 497 pixels - Perimeter : 77 pixels - Height : 30 pixels - Width : 21 pixels. Shape : ('oblong', [3, 2, 0, 15, 3]).
cell 23 : - Area : 84 pixels - Perimeter : 31 pixels - Height : 9 pixels - Width : 10 pixels. Shape : ('rectangle', [3, 2, 0, 15, 4]).
cell 24 : - Area : 175 pixels - Perimeter : 46 pixels - Height : 19 pixels - Width : 11 pixels. Shape : ('oblong', [3, 2, 0, 16, 4]).
cell 25 : - Area : 94 pixels - Perimeter : 35 pixels - Height : 12 pixels - Width : 11 pixels. Shape : ('oblong', [3, 2, 0, 17, 4]).
cell 26 : - Area : 665 pixels - Perimeter : 89 pixels - Height : 31 pixels - Width : 28 pixels. Shape : ('oblong', [3, 2, 0, 18, 4]).
cell 27 : - Area : 305 pixels - Perimeter : 66 pixels - Height : 22 pixels - Width : 18 pixels. Shape : ('oblong', [3, 2, 0, 19, 4]).
cell 28 : - Area : 391 pixels - Perimeter : 72 pixels - Height : 18 pixels - Width : 24 pixels. Shape : ('rectangle', [3, 2, 0, 19, 5]).
cell 29 : - Area : 317 pixels - Perimeter : 72 pixels - Height : 32 pixels - Width : 12 pixels. Shape : ('oblong', [3, 2, 0, 20, 5]).
cell 30 : - Area : 229 pixels - Perimeter : 47 pixels - Height : 18 pixels - Width : 16 pixels. Shape : ('oblong', [3, 2, 0, 21, 5]).
cell 31 : - Area : 116 pixels - Perimeter : 37 pixels - Height : 10 pixels - Width : 13 pixels. Shape : ('oblong', [3, 2, 0, 22, 5]).
cell 32 : - Area : 277 pixels - Perimeter : 57 pixels - Height : 23 pixels - Width : 17 pixels. Shape : ('square', [3, 3, 0, 22, 5]).
cell 33 : - Area : 401 pixels - Perimeter : 79 pixels - Height : 27 pixels - Width : 18 pixels. Shape : ('oblong', [3, 3, 0, 23, 5]).
cell 34 : - Area : 40 pixels - Perimeter : 20 pixels - Height : 7 pixels - Width : 6 pixels. Shape : ('rectangle', [3, 3, 0, 23, 6]).
cell 35 : - Area : 122 pixels - Perimeter : 37 pixels - Height : 13 pixels - Width : 10 pixels. Shape : ('rectangle', [3, 3, 0, 23, 7]).
cell 36 : - Area : 553 pixels - Perimeter : 127 pixels - Height : 35 pixels - Width : 23 pixels. Shape : ('square', [3, 4, 0, 23, 7]).
cell 37 : - Area : 336 pixels - Perimeter : 70 pixels - Height : 28 pixels - Width : 14 pixels. Shape : ('oblong', [3, 4, 0, 24, 7]).
cell 38 : - Area : 118 pixels - Perimeter : 36 pixels - Height : 12 pixels - Width : 12 pixels. Shape : ('oblong', [3, 4, 0, 25, 7]).
cell 39 : - Area : 600 pixels - Perimeter : 82 pixels - Height : 31 pixels - Width : 27 pixels. Shape : ('oblong', [3, 4, 0, 26, 7]).
cell 40 : - Area : 594 pixels - Perimeter : 90 pixels - Height : 29 pixels - Width : 28 pixels. Shape : ('oblong', [3, 4, 0, 27, 7]).
cell 41 : - Area : 94 pixels - Perimeter : 30 pixels - Height : 11 pixels - Width : 10 pixels. Shape : ('square', [3, 5, 0, 27, 7]).
cell 42 : - Area : 530 pixels - Perimeter : 76 pixels - Height : 27 pixels - Width : 24 pixels. Shape : ('oblong', [3, 5, 0, 28, 7]).
cell 43 : - Area : 269 pixels - Perimeter : 61 pixels - Height : 16 pixels - Width : 22 pixels. Shape : ('oblong', [3, 5, 0, 29, 7]).
cell 44 : - Area : 211 pixels - Perimeter : 48 pixels - Height : 15 pixels - Width : 17 pixels. Shape : ('oblong', [3, 5, 0, 30, 7]).
cell 45 : - Area : 109 pixels - Perimeter : 34 pixels - Height : 12 pixels - Width : 11 pixels. Shape : ('oblong', [3, 5, 0, 31, 7]).
cell 46 : - Area : 99 pixels - Perimeter : 34 pixels - Height : 12 pixels - Width : 11 pixels. Shape : ('oblong', [3, 5, 0, 32, 7]).
cell 47 : - Area : 114 pixels - Perimeter : 38 pixels - Height : 14 pixels - Width : 9 pixels. Shape : ('rectangle', [3, 5, 0, 32, 8]).
cell 48 : - Area : 53 pixels - Perimeter : 24 pixels - Height : 8 pixels - Width : 7 pixels. Shape : ('rectangle', [3, 5, 0, 32, 9]).
cell 49 : - Area : 228 pixels - Perimeter : 57 pixels - Height : 25 pixels - Width : 12 pixels. Shape : ('oblong', [3, 5, 0, 33, 9]).
cell 50 : - Area : 203 pixels - Perimeter : 44 pixels - Height : 15 pixels - Width : 17 pixels. Shape : ('oblong', [3, 5, 0, 34, 9]).
cell 51 : - Area : 35 pixels - Perimeter : 20 pixels - Height : 7 pixels - Width : 5 pixels. Shape : ('rectangle', [3, 5, 0, 34, 10]).
cell 52 : - Area : 119 pixels - Perimeter : 34 pixels - Height : 13 pixels - Width : 11 pixels. Shape : ('square', [3, 6, 0, 34, 10]).
cell 53 : - Area : 68 pixels - Perimeter : 27 pixels - Height : 10 pixels - Width : 8 pixels. Shape : ('square', [3, 7, 0, 34, 10]).
cell 54 : - Area : 399 pixels - Perimeter : 69 pixels - Height : 28 pixels - Width : 17 pixels. Shape : ('oblong', [3, 7, 0, 35, 10]).
cell 55 : - Area : 88 pixels - Perimeter : 31 pixels - Height : 12 pixels - Width : 9 pixels. Shape : ('oblong', [3, 7, 0, 36, 10]).
cell 56 : - Area : 157 pixels - Perimeter : 48 pixels - Height : 17 pixels - Width : 11 pixels. Shape : ('oblong', [3, 7, 0, 37, 10]).
cell 57 : - Area : 1003 pixels - Perimeter : 130 pixels - Height : 40 pixels - Width : 35 pixels. Shape : ('oblong', [3, 7, 0, 38, 10]).
cell 58 : - Area : 64 pixels - Perimeter : 27 pixels - Height : 10 pixels - Width : 7 pixels. Shape : ('rectangle', [3, 7, 0, 38, 11]).
cell 59 : - Area : 139 pixels - Perimeter : 52 pixels - Height : 20 pixels - Width : 8 pixels. Shape : ('oblong', [3, 7, 0, 39, 11]).
cell 60 : - Area : 42 pixels - Perimeter : 22 pixels - Height : 7 pixels - Width : 6 pixels. Shape : ('rectangle', [3, 7, 0, 39, 12]).
cell 61 : - Area : 111 pixels - Perimeter : 36 pixels - Height : 14 pixels - Width : 9 pixels. Shape : ('oblong', [3, 7, 0, 40, 12]).
cell 62 : - Area : 360 pixels - Perimeter : 89 pixels - Height : 25 pixels - Width : 18 pixels. Shape : ('oblong', [3, 7, 0, 41, 12]).
cell 63 : - Area : 67 pixels - Perimeter : 26 pixels - Height : 10 pixels - Width : 8 pixels. Shape : ('square', [3, 8, 0, 41, 12]).
cell 64 : - Area : 30 pixels - Perimeter : 18 pixels - Height : 6 pixels - Width : 5 pixels. Shape : ('rectangle', [3, 8, 0, 41, 13]).
cell 65 : - Area : 662 pixels - Perimeter : 111 pixels - Height : 37 pixels - Width : 27 pixels. Shape : ('square', [3, 9, 0, 41, 13]).
cell 66 : - Area : 123 pixels - Perimeter : 46 pixels - Height : 15 pixels - Width : 11 pixels. Shape : ('square', [3, 10, 0, 41, 13]).
cell 67 : - Area : 346 pixels - Perimeter : 66 pixels - Height : 25 pixels - Width : 17 pixels. Shape : ('oblong', [3, 10, 0, 42, 13]).
cell 68 : - Area : 47 pixels - Perimeter : 23 pixels - Height : 8 pixels - Width : 6 pixels. Shape : ('rectangle', [3, 10, 0, 42, 14]).
cell 69 : - Area : 393 pixels - Perimeter : 66 pixels - Height : 22 pixels - Width : 23 pixels. Shape : ('oblong', [3, 10, 0, 43, 14]).
cell 70 : - Area : 323 pixels - Perimeter : 79 pixels - Height : 23 pixels - Width : 20 pixels. Shape : ('oblong', [3, 10, 0, 44, 14]).
cell 71 : - Area : 158 pixels - Perimeter : 41 pixels - Height : 15 pixels - Width : 13 pixels. Shape : ('oblong', [3, 10, 0, 45, 14]).
cell 72 : - Area : 162 pixels - Perimeter : 40 pixels - Height : 15 pixels - Width : 13 pixels. Shape : ('square', [3, 11, 0, 45, 14]).
cell 73 : - Area : 199 pixels - Perimeter : 58 pixels - Height : 13 pixels - Width : 21 pixels. Shape : ('oblong', [3, 11, 0, 46, 14]).
cell 74 : - Area : 96 pixels - Perimeter : 31 pixels - Height : 12 pixels - Width : 10 pixels. Shape : ('oblong', [3, 11, 0, 47, 14]).
cell 75 : - Area : 138 pixels - Perimeter : 41 pixels - Height : 16 pixels - Width : 10 pixels. Shape : ('oblong', [3, 11, 0, 48, 14]).
cell 76 : - Area : 303 pixels - Perimeter : 84 pixels - Height : 19 pixels - Width : 23 pixels. Shape : ('oblong', [3, 11, 0, 49, 14]).
cell 77 : - Area : 643 pixels - Perimeter : 97 pixels - Height : 28 pixels - Width : 29 pixels. Shape : ('oblong', [3, 11, 0, 50, 14]).
cell 78 : - Area : 480 pixels - Perimeter : 73 pixels - Height : 23 pixels - Width : 25 pixels. Shape : ('oblong', [3, 11, 0, 51, 14]).
cell 79 : - Area : 109 pixels - Perimeter : 35 pixels - Height : 11 pixels - Width : 12 pixels. Shape : ('oblong', [3, 11, 0, 52, 14]).
cell 80 : - Area : 130 pixels - Perimeter : 39 pixels - Height : 15 pixels - Width : 11 pixels. Shape : ('oblong', [3, 11, 0, 53, 14]).
cell 81 : - Area : 163 pixels - Perimeter : 43 pixels - Height : 14 pixels - Width : 13 pixels. Shape : ('square', [3, 12, 0, 53, 14]).
cell 82 : - Area : 242 pixels - Perimeter : 50 pixels - Height : 17 pixels - Width : 18 pixels. Shape : ('oblong', [3, 12, 0, 54, 14]).
cell 83 : - Area : 141 pixels - Perimeter : 40 pixels - Height : 14 pixels - Width : 12 pixels. Shape : ('square', [3, 13, 0, 54, 14]).
cell 84 : - Area : 62 pixels - Perimeter : 26 pixels - Height : 8 pixels - Width : 8 pixels. Shape : ('square', [3, 14, 0, 54, 14]).
cell 85 : - Area : 35 pixels - Perimeter : 20 pixels - Height : 7 pixels - Width : 5 pixels. Shape : ('rectangle', [3, 14, 0, 54, 15]).
cell 86 : - Area : 100 pixels - Perimeter : 35 pixels - Height : 11 pixels - Width : 10 pixels. Shape : ('square', [3, 15, 0, 54, 15]).
cell 87 : - Area : 577 pixels - Perimeter : 94 pixels - Height : 25 pixels - Width : 32 pixels. Shape : ('oblong', [3, 15, 0, 55, 15]).
cell 88 : - Area : 281 pixels - Perimeter : 62 pixels - Height : 23 pixels - Width : 15 pixels. Shape : ('oblong', [3, 15, 0, 56, 15]).
cell 89 : - Area : 122 pixels - Perimeter : 37 pixels - Height : 10 pixels - Width : 14 pixels. Shape : ('oblong', [3, 15, 0, 57, 15]).
cell 90 : - Area : 906 pixels - Perimeter : 155 pixels - Height : 55 pixels - Width : 24 pixels. Shape : ('oblong', [3, 15, 0, 58, 15]).
cell 91 : - Area : 637 pixels - Perimeter : 88 pixels - Height : 33 pixels - Width : 25 pixels. Shape : ('oblong', [3, 15, 0, 59, 15]).
cell 92 : - Area : 117 pixels - Perimeter : 38 pixels - Height : 10 pixels - Width : 13 pixels. Shape : ('rectangle', [3, 15, 0, 59, 16]).
cell 93 : - Area : 108 pixels - Perimeter : 37 pixels - Height : 15 pixels - Width : 8 pixels. Shape : ('rectangle', [3, 15, 0, 59, 17]).
cell 94 : - Area : 340 pixels - Perimeter : 62 pixels - Height : 23 pixels - Width : 19 pixels. Shape : ('oblong', [3, 15, 0, 60, 17]).
cell 95 : - Area : 1404 pixels - Perimeter : 165 pixels - Height : 49 pixels - Width : 34 pixels. Shape : ('oblong', [3, 15, 0, 61, 17]).
cell 96 : - Area : 111 pixels - Perimeter : 35 pixels - Height : 10 pixels - Width : 13 pixels. Shape : ('oblong', [3, 15, 0, 62, 17]).
cell 97 : - Area : 109 pixels - Perimeter : 35 pixels - Height : 10 pixels - Width : 13 pixels. Shape : ('oblong', [3, 15, 0, 63, 17]).
cell 98 : - Area : 67 pixels - Perimeter : 26 pixels - Height : 9 pixels - Width : 9 pixels. Shape : ('oblong', [3, 15, 0, 64, 17]).
cell 99 : - Area : 144 pixels - Perimeter : 42 pixels - Height : 17 pixels - Width : 10 pixels. Shape : ('oblong', [3, 15, 0, 65, 17]).
